PF Rating,Team,Pos,Player,Prop,L10 Avg,L10 Diff,L5 Avg,L5 Diff,Odds,Streak,Matchup,2023,2024,H2H,L5,L10,L20,L30
49.2,IND,C,Obi Toppin,o0.5 Steals,0.6,0.1,0.4,"'-0.1","'+120",0,18,36/82,24/61,2/9,1/5,4/10,6/20,9/30
74.5,LAC,PF,Kawhi Leonard,o5.5 Reb,5.9,0.4,6.6,1.1,"'-148",1,16,40/68,9/23,2/5,3/5,4/10,9/20,14/30
63.5,LAC,PF,Kawhi Leonard,o0.5 Blocks,0.4,"'-0.1",0.6,0.1,"'+120",2,14,44/68,9/23,3/5,3/5,4/10,9/20,13/30
63.5,ATL,PF,Mouhamed Gueye,o4.5 RA,3.8,"'-0.7",5.2,0.7,"'+105",0,15,2/5,7/18,0/0,3/5,4/10,8/20,10/25
51.8,ORL,PF,Paolo Banchero,o35.5 PRA,38.5,3,41.6,6.1,"'-114",1,26,32/79,13/33,0/3,3/5,4/10,7/20,12/30
52.6,SA,SF,Devin Vassell,o18.5 Pts,16.9,"'-1.6",20,1.5,"'-115",0,16,38/68,19/49,0/4,2/5,4/10,6/20,13/30
68,SA,SF,Devin Vassell,o1.5 Steals,1.6,0.1,2.4,0.9,"'+114",1,18,19/68,19/49,2/4,4/5,4/10,7/20,11/30
36.7,IND,PG,T.J. McConnell,o7.5 RA,6.5,"'-1",6.2,"'-1.3","'-115",1,29,41/71,23/60,4/10,2/5,4/10,10/20,14/30
31.3,IND,C,Thomas Bryant,o4.5 Reb,3.4,"'-1.1",3.8,"'-0.7","'-115",0,14,13/37,18/48,1/2,3/5,4/10,10/20,15/30
21.8,IND,SF,Bennedict Mathurin,o0.5 Blocks,0.4,"'-0.1",0.2,"'-0.3","'+145",0,5,13/60,22/58,1/9,1/5,4/10,9/20,12/30
37.7,PHI,C,Andre Drummond,o0.5 Blocks,0.5,0,0.8,0.3,"'+120",2,1,33/79,15/40,3/11,3/5,4/10,8/20,11/30
51.4,PHI,PF,Justin Edwards,o9.5 Pts,8.7,"'-0.8",10.2,0.7,"'-118",0,4,0/0,12/32,0/1,3/5,4/10,9/20,12/30
37.9,PHI,PF,Justin Edwards,o13.5 PR,11.6,"'-1.9",13.4,"'-0.1","'-106",0,7,0/0,12/32,0/1,3/5,4/10,10/20,12/30
40.6,CLE,SG,Sam Merrill,o9.5 PA,7.4,"'-2.1",8.4,"'-1.1","'-115",0,17,29/61,21/56,1/2,3/5,4/10,8/20,11/30
