PF Rating,Team,Pos,Player,Prop,L10 Avg,L10 Diff,L5 Avg,L5 Diff,Odds,Streak,Matchup,2023,2024,H2H,L5,L10,L20,L30
60.2,IND,C,Thomas Bryant,o0.5 Blocks,0.4,"'-0.1",0.6,0.1,"'-120",0,26,13/37,22/48,1/2,2/5,3/10,9/20,13/30
37.2,IND,C,Obi Toppin,o3.5 Reb,2.8,"'-0.7",2.6,"'-0.9","'-135",0,14,39/82,28/61,5/9,1/5,3/10,9/20,14/30
35.5,LAC,PF,Derrick Jones Jr.,o3.5 Reb,2.8,"'-0.7",3.4,"'-0.1","'+105",1,16,32/76,28/61,2/6,2/5,3/10,9/20,14/30
43,ATL,SG,Terance Mann,o0.5 Steals,0.3,"'-0.2",0.2,"'-0.3","'+110",0,15,27/74,23/51,0/0,1/5,3/10,5/20,10/30
53,MEM,C,Zach Edey,o0.5 Steals,0.3,"'-0.2",0.4,"'-0.1","'+128",0,28,0/0,23/51,1/1,2/5,3/10,7/20,10/30
41.4,MEM,C,Zach Edey,o9.5 PA,9.2,"'-0.3",9.4,"'-0.1","'-115",0,8,0/0,23/51,0/1,1/5,3/10,7/20,9/30
29.7,MIN,SG,Anthony Edwards,o0.5 Blocks,0.3,"'-0.2",0.2,"'-0.3","'+132",0,20,30/78,29/64,2/5,1/5,3/10,9/20,13/30
52,SA,PF,Harrison Barnes,o5.5 RA,4.1,"'-1.4",4.4,"'-1.1","'+100",0,29,23/81,29/64,3/5,1/5,3/10,9/20,17/30
49.9,LAC,PG,James Harden,o0.5 Blocks,0.4,"'-0.1",0.6,0.1,"'+130",0,16,40/72,28/63,2/3,2/5,3/10,9/20,15/30
60.6,CHA,SG,Josh Green,o4.5 RA,4.7,0.2,5,0.5,"'-140",0,13,37/56,26/59,2/4,2/5,3/10,6/20,13/30
33.8,IND,PG,Tyrese Haliburton,o3.5 Reb,3,"'-0.5",3.2,"'-0.3","'+115",0,29,32/69,26/60,5/8,1/5,3/10,7/20,12/30
59.1,HOU,PF,Jabari Smith Jr.,o13.5 PA,11.9,"'-1.6",15,1.5,"'-120",0,30,44/75,19/44,7/10,3/5,3/10,9/20,14/30
54,CLE,C,Jarrett Allen,o24.5 PR,21.9,"'-2.6",26.4,1.9,"'-122",1,17,42/76,28/65,2/5,3/5,3/10,7/20,11/30
39.6,CLE,PF,Evan Mobley,o20.5 Pts,18.7,"'-1.8",17.8,"'-2.7","'-135",1,25,10/49,25/58,1/4,1/5,3/10,8/20,13/30
29.4,UTAH,PG,Isaiah Collier,o10.5 RA,10,"'-0.5",10.2,"'-0.3","'+100",0,1,0/0,25/58,0/1,2/5,3/10,12/20,19/30
56.7,UTAH,SG,Johnny Juzang,o11.5 PR,12.5,1,16.6,5.1,"'-120",0,5,8/19,20/48,0/1,3/5,3/10,8/20,12/30
33.5,BOS,PF,Jayson Tatum,o0.5 Blocks,0.5,0,0.8,0.3,"'+150",0,5,33/74,25/61,9/21,2/5,3/10,8/20,13/30
25.1,DAL,PG,Dante Exum,o3.5 Ast,2.4,"'-1.1",2.2,"'-1.3","'+135",0,22,18/55,7/17,0/4,1/5,3/10,7/20,7/30
28.8,DAL,PG,Dante Exum,o15.5 PRA,12.2,"'-3.3",13.4,"'-2.1","'-105",1,23,20/55,7/17,3/4,2/5,3/10,7/20,7/30
37.3,DAL,PG,Dante Exum,o12.5 PA,10.4,"'-2.1",11.6,"'-0.9","'-120",1,20,19/55,7/17,3/4,2/5,3/10,7/20,7/30
60,SA,SF,Devin Vassell,o2.5 3PTM,2.5,0,3.6,1.1,"'-110",0,28,32/68,20/49,2/4,3/5,3/10,5/20,12/30
28.4,UTAH,SG,Collin Sexton,o19.5 Pts,17.6,"'-1.9",16.8,"'-2.7","'-110",1,3,39/78,21/51,2/5,1/5,3/10,11/20,15/30
21,BOS,SG,Jrue Holiday,o0.5 Blocks,0.3,"'-0.2",0.4,"'-0.1","'+145",0,10,38/69,20/50,10/17,2/5,3/10,9/20,13/30
51.2,CHA,PG,LaMelo Ball,o7.5 Ast,6.2,"'-1.3",7.8,0.3,"'-125",2,12,12/22,17/42,3/4,2/5,3/10,8/20,14/30
66.3,TOR,PG,Immanuel Quickley,o0.5 Steals,0.6,0.1,0.6,0.1,"'-120",0,30,39/68,10/25,4/5,1/5,3/10,8/20,14/30
67.6,UTAH,C,Walker Kessler,o2.5 Blocks,2.9,0.4,3.8,1.3,"'-130",1,28,29/64,20/50,3/5,2/5,3/10,6/20,9/30
37.2,IND,C,Obi Toppin,o5.5 RA,4.3,"'-1.2",3.8,"'-1.7","'+110",0,16,32/82,24/61,2/9,1/5,3/10,9/20,12/30
32.6,IND,SG,Andrew Nembhard,o3.5 Reb,2.9,"'-0.6",3.4,"'-0.1","'+128",0,24,12/66,18/48,3/10,2/5,3/10,6/20,12/30
31.2,IND,SF,Bennedict Mathurin,o1.5 3PTM,1.3,"'-0.2",1.4,"'-0.1","'-105",1,21,23/60,22/58,1/9,2/5,3/10,8/20,11/30
31.9,PHI,PF,Justin Edwards,o1.5 3PTM,1.1,"'-0.4",1.2,"'-0.3","'+118",0,1,0/0,12/32,0/1,2/5,3/10,9/20,12/30
68.5,CHA,C,Mark Williams,o18.5 PA,16.7,"'-1.8",19.2,0.7,"'-110",0,27,5/19,12/32,0/2,2/5,3/10,9/20,12/30
53.4,UTAH,SG,Johnny Juzang,o4.5 RA,4.2,"'-0.3",5.4,0.9,"'-120",0,19,5/19,18/48,0/1,2/5,3/10,9/20,13/30
46.9,UTAH,PG,Isaiah Collier,o3.5 Reb,3.3,"'-0.2",3.8,0.3,"'+128",1,4,0/0,22/58,0/1,3/5,3/10,11/20,15/30
28.3,UTAH,PG,Isaiah Collier,o7.5 Ast,6.7,"'-0.8",6.4,"'-1.1","'+118",0,2,0/0,22/58,0/1,1/5,3/10,12/20,19/30
49.4,ATL,SG,Caris LeVert,o0.5 Blocks,0.4,"'-0.1",0.8,0.3,"'+155",0,13,29/68,19/51,1/4,3/5,3/10,7/20,11/30
46.4,CLE,PG,Ty Jerome,o1.5 Steals,1.5,0,1.6,0.1,"'+175",0,12,0/2,22/60,1/3,1/5,3/10,6/20,10/30
42.8,CLE,PG,Ty Jerome,o7.5 RA,6.1,"'-1.4",6.4,"'-1.1","'-105",0,28,0/2,22/60,1/3,2/5,3/10,8/20,11/30
53.8,IND,SF,Bennedict Mathurin,o0.5 Steals,0.5,0,0.6,0.1,"'+120",0,17,27/60,21/58,3/9,2/5,3/10,6/20,8/30
13.3,MIN,SG,Anthony Edwards,o1.5 Steals,0.9,"'-0.6",0.8,"'-0.7","'+150",0,10,31/78,23/64,2/5,1/5,3/10,8/20,11/30
32.9,MEM,SG,Desmond Bane,o2.5 3PTM,1.7,"'-0.8",1.8,"'-0.7","'+135",1,12,29/42,19/54,2/3,1/5,3/10,7/20,12/30
32.4,LAL,SG,Austin Reaves,o6.5 Ast,4.1,"'-2.4",3,"'-3.5","'+100",0,28,29/82,20/57,4/17,1/5,3/10,8/20,13/30
41.5,DEN,SF,Michael Porter Jr.,o0.5 Blocks,0.3,"'-0.2",0.6,0.1,"'+130",0,8,35/80,22/63,6/16,3/5,3/10,9/20,12/30
31.8,IND,PF,Pascal Siakam,o0.5 Blocks,0.4,"'-0.1",0.2,"'-0.3","'+135",0,27,21/79,22/64,5/11,1/5,3/10,10/20,13/30
37,CLE,PF,Evan Mobley,o24.5 PA,22.3,"'-2.2",21.4,"'-3.1","'-140",1,22,7/49,20/58,1/4,1/5,3/10,7/20,11/30
14,ORL,SF,Franz Wagner,o0.5 Blocks,0.4,"'-0.1",0.2,"'-0.3","'+160",0,11,23/71,16/47,2/3,1/5,3/10,5/20,12/30
65.4,CHA,C,Mark Williams,o16.5 Pts,15,"'-1.5",17.2,0.7,"'+100",0,22,5/19,11/32,0/2,2/5,3/10,9/20,11/30
38.8,IND,C,Thomas Bryant,o5.5 RA,3.9,"'-1.6",4.2,"'-1.3","'-120",0,16,11/37,16/48,1/2,2/5,3/10,9/20,14/30
57.7,ATL,PF,Mouhamed Gueye,o3.5 Reb,2.9,"'-0.6",4,0.5,"'+136",0,7,2/5,6/18,0/0,3/5,3/10,7/20,9/25
33.7,CLE,SF,Max Strus,o3.5 Ast,3.2,"'-0.3",2.8,"'-0.7","'+120",1,10,38/69,12/36,2/5,2/5,3/10,6/20,10/30
59.3,SA,PF,Harrison Barnes,o0.5 Steals,0.3,"'-0.2",0.6,0.1,"'+105",2,28,44/81,21/64,3/5,3/5,3/10,7/20,12/30
56.2,SA,SF,Devin Vassell,o3.5 Ast,3.4,"'-0.1",3.8,0.3,"'+105",1,26,38/68,16/49,3/4,2/5,3/10,4/20,8/30
33.3,IND,C,Thomas Bryant,o13.5 PRA,10.9,"'-2.6",11,"'-2.5","'-120",0,25,12/37,15/48,2/2,2/5,3/10,9/20,14/30
46.8,PHI,PF,Justin Edwards,o0.5 Blocks,0.3,"'-0.2",0.6,0.1,"'+215",2,18,0/0,10/32,0/1,3/5,3/10,7/20,10/30
33.5,LAC,PF,Derrick Jones Jr.,o0.5 Blocks,0.3,"'-0.2",0.4,"'-0.1","'+205",0,14,32/76,19/61,3/6,2/5,3/10,7/20,9/30
25.2,ATL,SG,Caris LeVert,o3.5 Reb,2.9,"'-0.6",3,"'-0.5","'+105",1,2,39/68,16/51,2/4,1/5,3/10,8/20,10/30
16.2,HOU,C,Alperen Sengun,o0.5 3PTM,0.3,"'-0.2",0.4,"'-0.1","'+340",2,3,27/63,19/62,2/9,2/5,3/10,6/20,9/30
34.9,CLE,C,Jarrett Allen,o2.5 Ast,1.5,"'-1",1.6,"'-0.9","'+120",0,14,42/76,20/65,2/5,2/5,3/10,8/20,12/30
41.8,CLE,PG,Darius Garland,o10.5 RA,9.7,"'-0.8",9.6,"'-0.9","'-136",1,28,18/57,19/61,3/4,2/5,3/10,6/20,11/30
27.9,CLE,SF,Isaac Okoro,o4.5 RA,3.6,"'-0.9",2.8,"'-1.7","'-120",1,5,33/68,12/39,1/5,1/5,3/10,4/20,7/30
40.6,IND,PG,T.J. McConnell,o1.5 Steals,1.1,"'-0.4",1.8,0.3,"'+145",1,8,23/71,18/60,5/10,3/5,3/10,8/20,11/30
19.7,HOU,F,Tari Eason,o7.5 Reb,6.3,"'-1.2",7,"'-0.5","'-105",1,9,11/22,13/44,2/7,2/5,3/10,6/20,10/30
32.1,CLE,PG,Darius Garland,o1.5 Steals,1.5,0,1.4,"'-0.1","'+170",1,12,21/57,18/61,1/4,1/5,3/10,7/20,10/30
27.3,LAL,SG,Dalton Knecht,o0.5 Steals,0.4,"'-0.1",0,"'-0.5","'-165",0,24,0/0,18/61,1/2,0/5,3/10,6/20,8/30
23.6,DAL,PG,Dante Exum,o5.5 RA,4.2,"'-1.3",4,"'-1.5","'-120",1,24,26/55,5/17,1/4,1/5,3/10,5/20,5/30
30.3,CHA,SG,Josh Green,o3.5 Reb,2.6,"'-0.9",3.4,"'-0.1","'+110",0,5,22/56,17/59,0/4,2/5,3/10,4/20,10/30
32.6,LAC,C,Ivica Zubac,o1.5 Blocks,1.3,"'-0.2",1.2,"'-0.3","'+162",0,18,24/68,18/64,1/4,1/5,3/10,5/20,9/30
33.4,SAC,SF,DeMar DeRozan,o1.5 3PTM,1.4,"'-0.1",1.2,"'-0.3","'+165",0,16,20/78,17/60,0/6,1/5,3/10,7/20,12/30
19.3,IND,PG,T.J. McConnell,o0.5 Blocks,0.3,"'-0.2",0.2,"'-0.3","'+220",1,4,8/71,16/60,4/10,1/5,3/10,7/20,8/30
27.3,SAC,PG,Devin Carter,o10.5 PRA,8.3,"'-2.2",10,"'-0.5","'-125",0,2,0/0,6/22,0/0,2/5,3/10,5/20,6/22
34.9,CHA,PG,LaMelo Ball,o0.5 Blocks,0.3,"'-0.2",0.4,"'-0.1","'+250",1,14,4/22,11/42,0/4,2/5,3/10,6/20,8/30
45.8,PHI,C,Andre Drummond,o9.5 Pts,8.9,"'-0.6",9.6,0.1,"'-125",0,25,28/79,10/40,1/11,1/5,3/10,4/20,6/30
51.6,LAC,PF,Nicolas Batum,o10.5 PRA,9.6,"'-0.9",12.6,2.1,"'-125",0,23,32/58,16/64,4/5,2/5,3/10,6/20,6/30
43.6,CLE,SG,Sam Merrill,o2.5 Reb,2.5,0,2.6,0.1,"'+120",1,9,22/61,14/56,0/2,1/5,3/10,6/20,8/30
65.7,SA,C,Bismack Biyombo,o6.5 RA,7.5,1,7.6,1.1,"'-125",0,12,18/38,3/12,1/1,1/5,3/10,3/20,7/30
38.9,SA,PF,Keldon Johnson,o5.5 Reb,4.9,"'-0.6",5.2,"'-0.3","'+110",0,26,30/69,15/61,2/5,1/5,3/10,3/20,5/30
35,SA,SG,Stephon Castle,o1.5 Steals,1,"'-0.5",1.2,"'-0.3","'+150",0,14,0/0,16/63,0/1,2/5,3/10,8/20,10/30
37.8,UTAH,SF,Lauri Markkanen,o0.5 Blocks,0.5,0,0,"'-0.5","'+155",0,30,21/55,11/44,1/4,0/5,3/10,8/20,10/30
32.6,ATL,SG,Terance Mann,o0.5 Blocks,0.3,"'-0.2",0.4,"'-0.1","'+300",0,13,13/74,12/51,0/0,2/5,3/10,5/20,9/30
24.8,DAL,PG,Dante Exum,o2.5 Reb,1.8,"'-0.7",1.8,"'-0.7","'+100",1,24,23/55,4/17,1/4,1/5,3/10,4/20,5/30
20.1,DEN,PF,Aaron Gordon,o0.5 Blocks,0.3,"'-0.2",0.2,"'-0.3","'+260",0,8,30/72,9/38,10/17,1/5,3/10,5/20,7/30
35.6,CLE,PG,Darius Garland,o3.5 Reb,2.9,"'-0.6",3.2,"'-0.3","'+140",2,17,15/57,14/61,2/4,2/5,3/10,5/20,7/30
52.6,LAC,PF,Kawhi Leonard,o29.5 PR,27.7,"'-1.8",30.6,1.1,"'-115",1,22,35/68,5/23,4/5,2/5,3/10,5/20,7/30
25.8,LAC,SG,Bogdan Bogdanovic,o0.5 Blocks,0.3,"'-0.2",0.4,"'-0.1","'+260",0,3,18/78,8/38,0/0,2/5,3/10,5/20,6/30
23.5,MIN,PG,Donte DiVincenzo,o0.5 Blocks,0.4,"'-0.1",0.6,0.1,"'+190",1,1,33/80,9/48,3/5,2/5,3/10,4/20,5/30
39,SA,PG,Chris Paul,o0.5 Blocks,0.3,"'-0.2",0.2,"'-0.3","'+375",0,29,6/57,12/64,0/4,1/5,3/10,3/20,7/30
42.4,SA,PF,Keldon Johnson,o24.5 PRA,22.4,"'-2.1",23.4,"'-1.1","'-110",2,29,30/69,11/61,3/5,2/5,3/10,6/20,7/30
28.8,LAL,PG,Gabe Vincent,o2.5 3PTM,1.5,"'-1",2,"'-0.5","'+122",0,21,0/10,10/56,3/15,2/5,3/10,8/20,10/30
30.9,ATL,PF,Georges Niang,o0.5 Blocks,0.3,"'-0.2",0.2,"'-0.3","'+250",0,16,17/81,11/64,1/4,1/5,3/10,5/20,6/30
25,LAC,PF,Nicolas Batum,o1.5 Steals,1,"'-0.5",1,"'-0.5","'+145",0,5,14/58,10/64,0/5,1/5,3/10,3/20,5/30
28.2,PHI,C,Andre Drummond,o11.5 PA,10.4,"'-1.1",11,"'-0.5","'-115",0,23,20/79,6/40,1/11,1/5,3/10,4/20,4/30
41.5,CLE,PF,Dean Wade,o4.5 RA,4,"'-0.5",3,"'-1.5","'-115",0,9,28/54,31/45,2/3,0/5,2/10,10/20,19/30
37.2,PHI,SF,Kelly Oubre Jr.,o6.5 RA,5.6,"'-0.9",5.6,"'-0.9","'+115",0,12,29/67,35/60,4/6,1/5,2/10,11/20,18/30
50.7,SA,PG,Chris Paul,o11.5 PR,9.5,"'-2",10.2,"'-1.3","'-120",0,27,38/57,35/64,2/4,1/5,2/10,7/20,12/30
50.1,SAC,SG,Zach LaVine,o3.5 Ast,3.1,"'-0.4",3.4,"'-0.1","'-132",0,25,14/25,32/58,3/3,1/5,2/10,9/20,17/30
40.8,CHA,PG,LaMelo Ball,o38.5 PRA,28.9,"'-9.6",34.6,"'-3.9","'-112",0,24,9/22,22/42,1/4,2/5,2/10,6/20,13/30
41.7,MIN,PG,Mike Conley,o2.5 Reb,2.2,"'-0.3",3.2,0.7,"'+108",0,10,42/75,28/57,3/3,2/5,2/10,10/20,14/30
23.7,BOS,SG,Jrue Holiday,o14.5 PR,11.9,"'-2.6",12.8,"'-1.7","'-120",0,16,47/69,24/50,14/17,2/5,2/10,6/20,11/30
49.8,SA,PG,Chris Paul,o19.5 PRA,16.8,"'-2.7",17.8,"'-1.7","'-110",1,26,28/57,31/64,2/4,1/5,2/10,7/20,11/30
44.4,PHX,SF,Royce O'Neale,o4.5 Reb,3.7,"'-0.8",4,"'-0.5","'-162",0,16,36/78,29/60,3/7,1/5,2/10,6/20,9/30
47.3,LAC,SG,Bogdan Bogdanovic,o0.5 Steals,0.2,"'-0.3",0.4,"'-0.1","'-130",0,22,57/78,18/38,0/0,2/5,2/10,9/20,14/30
23.7,ORL,SF,Franz Wagner,o1.5 3PTM,1.1,"'-0.4",1,"'-0.5","'+125",0,11,28/71,22/47,0/3,1/5,2/10,7/20,12/30
65.8,UTAH,SG,Collin Sexton,o0.5 Steals,0.5,0,0.6,0.1,"'-125",0,29,38/78,24/51,3/5,1/5,2/10,7/20,11/30
45.7,PHX,SG,Bradley Beal,o0.5 Blocks,0.2,"'-0.3",0.2,"'-0.3","'+150",0,18,20/52,21/46,2/6,1/5,2/10,5/20,11/30
43,PHI,C,Guerschon Yabusele,o19.5 PRA,13.3,"'-6.2",13.6,"'-5.9","'-110",0,27,0/0,27/60,0/2,1/5,2/10,9/20,15/30
43.7,PHI,C,Guerschon Yabusele,o16.5 PR,11.4,"'-5.1",11.4,"'-5.1","'-111",0,29,0/0,27/60,0/2,1/5,2/10,9/20,14/30
25.1,IND,C,Myles Turner,o6.5 Reb,5.6,"'-0.9",5.8,"'-0.7","'+105",0,14,40/77,25/57,3/9,1/5,2/10,5/20,10/30
31.3,IND,PG,Tyrese Haliburton,o0.5 Blocks,0.3,"'-0.2",0.4,"'-0.1","'+130",0,4,36/69,26/60,5/8,1/5,2/10,9/20,14/30
49.7,CLE,C,Jarrett Allen,o27.5 PRA,23.4,"'-4.1",28,0.5,"'-110",1,15,40/76,28/65,2/5,2/5,2/10,7/20,10/30
39.3,PHI,C,Guerschon Yabusele,o1.5 3PTM,1,"'-0.5",0.6,"'-0.9","'+175",0,21,0/0,25/60,0/2,1/5,2/10,7/20,12/30
40.3,PHI,C,Guerschon Yabusele,o13.5 PA,8.9,"'-4.6",9.8,"'-3.7","'-105",0,23,0/0,25/60,0/2,1/5,2/10,8/20,14/30
35,PHX,SF,Royce O'Neale,o14.5 PR,11.1,"'-3.4",11,"'-3.5","'-104",0,18,28/78,25/60,1/7,1/5,2/10,8/20,8/30
21.9,MIA,PF,Bam Adebayo,o0.5 Blocks,0.2,"'-0.3",0,"'-0.5","'+145",0,1,38/70,26/63,9/21,0/5,2/10,6/20,11/30
34.9,LAC,PF,Derrick Jones Jr.,o4.5 RA,3.2,"'-1.3",3.8,"'-0.7","'+130",0,22,36/76,25/61,2/6,1/5,2/10,8/20,11/30
44.8,MEM,PG,Luke Kennard,o6.5 RA,6.2,"'-0.3",7.2,0.7,"'+115",0,5,19/39,21/51,0/3,2/5,2/10,7/20,14/30
18.8,MIA,SF,Haywood Highsmith,o0.5 Blocks,0.3,"'-0.2",0,"'-0.5","'+175",0,17,25/65,23/58,4/16,0/5,2/10,6/20,11/30
40.7,PHI,C,Guerschon Yabusele,o10.5 Pts,7,"'-3.5",7.6,"'-2.9","'-100",0,25,0/0,24/60,0/2,1/5,2/10,8/20,13/30
12,ORL,SG,Kentavious Caldwell-Pope,o1.5 3PTM,0.9,"'-0.6",1.2,"'-0.3","'+135",1,3,39/75,25/64,8/20,2/5,2/10,4/20,10/30
38.1,CHA,C,Mark Williams,o2.5 Ast,1.7,"'-0.8",2,"'-0.5","'+160",0,26,2/19,12/32,0/2,1/5,2/10,9/20,12/30
54.7,UTAH,SG,Johnny Juzang,o12.5 PRA,13.1,0.6,17.2,4.7,"'-120",0,8,7/19,18/48,0/1,2/5,2/10,7/20,11/30
43.7,UTAH,SG,Johnny Juzang,o9.5 PA,9.5,0,12.4,2.9,"'-105",0,6,7/19,18/48,0/1,2/5,2/10,6/20,10/30
13.6,DAL,SG,Max Christie,o0.5 Blocks,0.2,"'-0.3",0.2,"'-0.3","'+185",0,1,14/66,23/63,3/7,1/5,2/10,7/20,12/30
47.2,CLE,C,Jarrett Allen,o14.5 Pts,13,"'-1.5",15.4,0.9,"'-106",1,10,43/76,24/65,2/5,2/5,2/10,5/20,9/30
33.3,TOR,PF,Scottie Barnes,o1.5 3PTM,0.7,"'-0.8",0.4,"'-1.1","'+210",0,20,28/60,19/51,3/5,0/5,2/10,4/20,7/30
34.6,LAC,PF,Nicolas Batum,o4.5 RA,3.1,"'-1.4",3.6,"'-0.9","'-130",0,22,41/58,23/64,3/5,1/5,2/10,5/20,8/30
29.9,CLE,SG,Sam Merrill,o3.5 RA,3.3,"'-0.2",2.8,"'-0.7","'-115",1,12,29/61,20/56,0/2,1/5,2/10,7/20,10/30
35.6,CLE,PF,Evan Mobley,o30.5 PR,28.8,"'-1.7",27.2,"'-3.3","'-110",0,23,7/49,21/58,3/4,0/5,2/10,7/20,12/30
27,PHI,C,Guerschon Yabusele,o8.5 RA,6.3,"'-2.2",6,"'-2.5","'-120",0,21,0/0,21/60,1/2,0/5,2/10,8/20,12/30
46.8,CLE,C,Jarrett Allen,o16.5 PA,14.5,"'-2",17,0.5,"'-122",1,11,46/76,23/65,2/5,2/5,2/10,5/20,9/30
39.7,DAL,SF,Klay Thompson,o0.5 Blocks,0.5,0,0.6,0.1,"'+135",0,25,29/76,20/59,3/9,1/5,2/10,7/20,12/30
36.2,CLE,PF,Evan Mobley,o34.5 PRA,32.4,"'-2.1",30.8,"'-3.7","'-125",1,21,6/49,20/58,3/4,1/5,2/10,7/20,12/30
40.8,DEN,PG,Jamal Murray,o0.5 Blocks,0.2,"'-0.3",0.2,"'-0.3","'+145",0,28,25/58,20/59,7/18,1/5,2/10,7/20,9/30
33.3,LAC,PF,Nicolas Batum,o3.5 Reb,2.4,"'-1.1",3,"'-0.5","'+116",0,16,33/58,21/64,3/5,2/5,2/10,5/20,9/30
28.2,ATL,PF,Georges Niang,o0.5 Steals,0.2,"'-0.3",0.2,"'-0.3","'+125",1,11,21/81,21/64,1/4,1/5,2/10,6/20,9/30
36.5,CLE,SF,Isaac Okoro,o6.5 Pts,5.5,"'-1",5.4,"'-1.1","'-113",0,22,51/68,13/39,3/5,1/5,2/10,6/20,10/30
31,CHA,SF,DaQuan Jeffries,o3.5 Reb,2.3,"'-1.2",1.4,"'-2.1","'-136",0,17,0/15,10/30,1/2,0/5,2/10,6/20,10/30
26.2,MEM,PG,Ja Morant,o1.5 Steals,1.1,"'-0.4",1.4,"'-0.1","'+150",0,4,1/9,13/42,0/3,1/5,2/10,7/20,10/30
30.9,IND,C,Obi Toppin,o0.5 Blocks,0.2,"'-0.3",0.2,"'-0.3","'+230",0,26,30/82,18/61,2/9,1/5,2/10,5/20,7/30
12.9,DAL,SG,Max Christie,o15.5 PA,12,"'-3.5",13.2,"'-2.3","'-120",0,1,1/66,19/63,2/7,1/5,2/10,11/20,13/30
25.8,SAC,C,Domantas Sabonis,o0.5 Blocks,0.2,"'-0.3",0.2,"'-0.3","'+240",0,5,34/81,16/56,4/11,1/5,2/10,4/20,7/30
29.6,HOU,PF,Jabari Smith Jr.,o0.5 Steals,0.3,"'-0.2",0.6,0.1,"'+120",1,1,35/75,12/44,3/10,2/5,2/10,6/20,7/30
48.8,CHA,SF,DaQuan Jeffries,o1.5 3PTM,0.9,"'-0.6",1.6,0.1,"'+162",2,13,0/15,8/30,0/2,2/5,2/10,4/20,8/30
23.8,SAC,PG,Devin Carter,o3.5 Reb,2.2,"'-1.3",2.2,"'-1.3","'+130",0,1,0/0,6/22,0/0,1/5,2/10,4/20,6/22
31.4,CLE,SF,Isaac Okoro,o11.5 PRA,9.1,"'-2.4",8.2,"'-3.3","'-105",0,18,42/68,10/39,2/5,0/5,2/10,5/20,8/30
40.4,SA,PF,Keldon Johnson,o7.5 RA,6.6,"'-0.9",6.4,"'-1.1","'+100",0,29,36/69,15/61,2/5,1/5,2/10,3/20,5/30
39.9,TOR,SF,RJ Barrett,o0.5 Blocks,0.2,"'-0.3",0.4,"'-0.1","'+250",0,27,19/58,12/51,1/4,2/5,2/10,3/20,6/30
31.3,PHI,C,Andre Drummond,o19.5 PR,17.3,"'-2.2",18.2,"'-1.3","'+100",0,29,27/79,9/40,4/11,1/5,2/10,3/20,3/30
57.7,CHA,SF,DaQuan Jeffries,o7.5 Pts,5.6,"'-1.9",8.6,1.1,"'-110",2,29,0/15,7/30,0/2,2/5,2/10,3/20,7/30
38,CHA,SF,DaQuan Jeffries,o13.5 PRA,8.7,"'-4.8",11.2,"'-2.3","'+100",1,27,0/15,7/30,1/2,1/5,2/10,5/20,7/30
39.3,CHA,SF,DaQuan Jeffries,o11.5 PR,7.9,"'-3.6",10,"'-1.5","'-105",1,28,0/15,7/30,0/2,1/5,2/10,4/20,7/30
21.5,SAC,PG,Devin Carter,o5.5 RA,3.4,"'-2.1",3.4,"'-2.1","'-105",0,2,0/0,5/22,0/0,0/5,2/10,3/20,5/22
16.8,DAL,SG,Max Christie,o4.5 Reb,3.4,"'-1.1",3.6,"'-0.9","'+130",0,10,12/66,13/63,4/7,1/5,2/10,6/20,9/30
22.3,LAL,SG,Dalton Knecht,o4.5 Reb,2.9,"'-1.6",4.4,"'-0.1","'-115",1,8,0/0,13/61,1/2,2/5,2/10,4/20,4/30
46.7,LAL,SG,Dalton Knecht,o1.5 Ast,1,"'-0.5",1.8,0.3,"'-105",1,28,0/0,12/61,0/2,2/5,2/10,3/20,3/30
39.6,SAC,PG,Malik Monk,o1.5 Steals,0.8,"'-0.7",1,"'-0.5","'+185",1,29,9/72,11/54,1/8,2/5,2/10,5/20,8/30
6.3,MIN,PG,Mike Conley,o0.5 Blocks,0.2,"'-0.3",0.2,"'-0.3","'+330",0,1,13/75,11/57,0/3,1/5,2/10,3/20,5/30
12.8,MIN,PF,Julius Randle,o0.5 Blocks,0.2,"'-0.3",0.2,"'-0.3","'+210",0,15,11/46,10/54,3/6,1/5,2/10,4/20,8/30
26.2,CHA,SG,Josh Green,o0.5 Blocks,0.2,"'-0.3",0,"'-0.5","'+375",0,9,9/56,11/59,1/4,0/5,2/10,2/20,2/30
35.2,SA,PF,Harrison Barnes,o0.5 Blocks,0.2,"'-0.3",0.2,"'-0.3","'+300",0,21,12/81,12/64,0/5,1/5,2/10,4/20,6/30
14.8,MIA,PG,Davion Mitchell,o0.5 Blocks,0.2,"'-0.3",0,"'-0.5","'+475",0,11,3/71,10/57,1/8,0/5,2/10,3/20,4/30
14.8,DAL,PG,Dante Exum,o0.5 Blocks,0.2,"'-0.3",0,"'-0.5","'+375",0,15,5/55,3/17,0/4,0/5,2/10,3/20,3/30
34.4,SA,PF,Keldon Johnson,o0.5 Blocks,0.2,"'-0.3",0.2,"'-0.3","'+270",0,21,18/69,11/61,0/5,1/5,2/10,2/20,6/30
24.3,LAL,PG,Gabe Vincent,o10.5 Pts,7.1,"'-3.4",9.2,"'-1.3","'-114",0,14,0/10,10/56,3/15,2/5,2/10,7/20,9/30
20.7,LAL,SG,Austin Reaves,o25.5 Pts,18.1,"'-7.4",15,"'-10.5","'-115",1,11,6/82,10/57,0/17,1/5,2/10,4/20,5/30
20.9,LAL,SG,Dalton Knecht,o16.5 Pts,9.8,"'-6.7",12.4,"'-4.1","'-125",0,11,0/0,11/61,0/2,1/5,2/10,3/20,3/30
